["port_00","LEFT"]
["port_01","RIGHT"]
["port_10","LEFT"]
["port_11","RIGHT"]
("port_00","mode 1",1,"port_00",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.3447142407554168e-02 -2.6280768308051550e+00
1.8799485387083331e+14 3.0202942127160470e-02 -2.8444067266076134e+00
1.8861942149166662e+14 3.3542944886663630e-02 -2.7865560422633808e+00
1.8924398911249997e+14 3.5641344709493893e-02 -2.5019610616912984e+00
1.8986855673333331e+14 2.6109100576202367e-02 -2.5003595931265830e+00
1.9049312435416662e+14 1.8690719983640261e-02 -2.7119986606773607e+00
1.9111769197499997e+14 3.0149702361039917e-02 -2.9486155082440662e+00
1.9174225959583331e+14 3.3532112727878614e-02 -2.7051402283483301e+00
1.9236682721666666e+14 2.7175616358492704e-02 -2.4324859616282146e+00
1.9299139483749997e+14 1.6482639070498739e-02 -2.7398395133053861e+00
1.9361596245833331e+14 2.7992152807511328e-02 -3.0967607951736480e+00
1.9424053007916666e+14 3.4560467726366735e-02 -2.7520954675595655e+00
1.9486509769999997e+14 2.8703684129959165e-02 -2.4699880769560196e+00
1.9548966532083331e+14 1.5190621666687139e-02 -2.3499880253220282e+00
1.9611423294166666e+14 1.9985321152383474e-02 -3.1169834856657754e+00
1.9673880056250000e+14 2.4922459676726672e-02 -3.2406249696695331e+00
1.9736336818333331e+14 3.1244511071763799e-02 -2.9783272614233858e+00
1.9798793580416666e+14 3.6774929911109082e-02 -2.8033012222631255e+00
1.9861250342500000e+14 2.8593440062441054e-02 -2.5244476105085591e+00
1.9923707104583331e+14 2.2288956206432013e-02 -2.3313973499883591e+00
1.9986163866666666e+14 1.8209675725951998e-02 -3.1003550782745082e+00
("port_00","mode 1",1,"port_01",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.3699332531157473e-01 -2.9433708364592879e+00
1.8799485387083331e+14 5.5478794121509523e-01 -4.5066419981458411e-01
1.8861942149166662e+14 5.7197753906193960e-01 2.0419002863451166e+00
1.8924398911249997e+14 5.8886083450357707e-01 4.5334978258871335e+00
1.8986855673333331e+14 6.0505683687137679e-01 7.0247541771011761e+00
1.9049312435416662e+14 6.2011535027982301e-01 9.5158281172400123e+00
1.9111769197499997e+14 6.3428542409142918e-01 1.2006468452855524e+01
1.9174225959583331e+14 6.4820572697210310e-01 1.4496080456229119e+01
1.9236682721666666e+14 6.6128029855704462e-01 1.6985369513985717e+01
1.9299139483749997e+14 6.7369041400560814e-01 1.9474886181896043e+01
1.9361596245833331e+14 6.8567456988276343e-01 2.1963953163442625e+01
1.9424053007916666e+14 6.9744167757500974e-01 2.4452137408444294e+01
1.9486509769999997e+14 7.0913952395667978e-01 2.6939906024492135e+01
1.9548966532083331e+14 7.2085797793387130e-01 2.9427144591502760e+01
